,Cr,Fe,Cd,Zn,Cu,Pb
zntA,0.6004710118238132,-0.15721393237052741,1.6045350683037976,1.130459843693698,0.13285338726820245,0.33291948330722265
rpoS,0.0007093135924516941,-0.04595656193365168,0.007260347197970613,0.039211814534232996,0.022718469594894857,0.032734147866725426
rihC,0.02470938504283467,-0.00392049067961641,0.13302601740160477,0.08733434967114194,0.04760241742685706,0.021667498165369385
ypfH,0.008271248956353451,-0.09391264572920617,0.0009734041081250527,0.027225944766333974,0.02541548628242603,0.028901564204008193
alsI,-0.024830295586306946,-0.014594921203198854,0.02599800199620001,0.10619228232461908,0.07680491347455513,0.09139024820024493
ygdQ,-0.015513249033586614,-0.029777799632382047,0.20354225727802064,0.08328480860417459,0.025064578520489836,0.07344336865956785
yabP,0.018594537160097565,-0.17136880707789923,0.055648732996990705,0.0009426587366853582,0.02487169484403042,0.04886757100501448
ypfJ,0.011362280092713185,-0.1495380197362803,0.0676390440117274,0.08153417361150951,0.017988105023761258,0.049440491595511823
talB,0.005250693329951281,-0.04107825848853203,0.014607427697993497,0.04582429310760442,0.021299250731531064,0.04481818748174298
yqeI,-0.012701143086979207,-0.023690620081867297,0.008819327865896478,0.05279742133562306,0.026311695748201438,0.04406284805956124
yabI,0.012294353783170833,-0.051987156588338974,0.03767515413806059,0.06474880677748547,0.028124979813188074,0.05370916882421066
hda,-0.031069827591297117,-0.05020180096375747,-0.009913231958131844,0.10580202353420463,0.028825352418648583,0.0026796618213372736
talA,0.04337313518107105,-0.1852524481616939,0.01862549659638129,-0.01087052091223868,0.08907112253207164,0.09346833579959364
ygeH,0.0037784928244060947,-0.015196115781845253,0.031074399495881408,0.0419855548496843,0.038025136713453,-0.0112428354484323
ilvI,0.01587905343463826,-0.05794645397255472,0.028632946227986122,0.04704897856424262,-0.0027682144525248086,0.014672898000310505
yfgB,0.019026836197769233,-0.04772839788324744,0.0016452498376228106,0.10910886512470563,0.02908028841826755,0.022363926538082057
pfkB,0.016442504110610722,-0.1633574988705787,0.008384668745471056,0.04404703548399936,-0.001020938639466534,0.028422303025168162
ygeY,0.0386414553976469,-0.046307761242262775,-0.06098879848608833,0.0410168169127295,-0.0029263118127828987,0.031170350148933764
secM,0.008933459256714186,0.03976587125207428,0.028413563499813072,0.030214895887371633,0.011006937918586557,0.04482445441559557
iscS,0.036161952824008387,-0.06537081523974266,0.03738896831687188,0.07072281194889074,0.014494929918107831,0.06505423956230756
setB,-0.0019606463444156773,-0.04684366555018906,0.0021628055745825437,0.009465872817371988,0.025272167643448154,0.019429119501409277
ygiL,0.006950546175317046,-0.04820392828081525,0.0060221515841950195,0.026324633681614692,0.00478473588632305,0.01824339489299971
yacL,0.017734020134339615,-0.013867690515846317,0.014472715255856434,-0.0009390100379990914,0.010428701432578657,0.0298514465416413
iscR,0.012524876819880815,-0.28970887586612476,-0.0013056990761659117,-0.005984369445576781,0.0657792684888646,0.08649101847774707
crp,0.022419736273779287,-0.16537013791922123,0.0440485597648572,0.018587546791768633,0.016990845975736774,0.09493593371664462
